Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
alovoa,com.nonononoki.alovoa,ToolsTest,test,Magic Number,The method contains a magic number: 0.45,19
alovoa,com.nonononoki.alovoa,ToolsTest,test,Magic Number,The method contains a magic number: 50,19
alovoa,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number,The method contains a magic number: 20,37
alovoa,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number,The method contains a magic number: 20,37
alovoa,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number,The method contains a magic number: 20,37
alovoa,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number,The method contains a magic number: 20,37
alovoa,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number,The method contains a magic number: 20,37
alovoa,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number,The method contains a magic number: 20,37
alovoa,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number,The method contains a magic number: 19,37
alovoa,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number,The method contains a magic number: 20,37
alovoa,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number,The method contains a magic number: 19,37
alovoa,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number,The method contains a magic number: 20,37
alovoa,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number,The method contains a magic number: 21,37
alovoa,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number,The method contains a magic number: 20,37
alovoa,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number,The method contains a magic number: 16,37
alovoa,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number,The method contains a magic number: 20,98
alovoa,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number,The method contains a magic number: 18,98
alovoa,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number,The method contains a magic number: 45,98
alovoa,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number,The method contains a magic number: 18,98
alovoa,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number,The method contains a magic number: 45,98
alovoa,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number,The method contains a magic number: 21,98
alovoa,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number,The method contains a magic number: 19,98
alovoa,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number,The method contains a magic number: 46,98
alovoa,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number,The method contains a magic number: 25,98
alovoa,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number,The method contains a magic number: 55,98
alovoa,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number,The method contains a magic number: 25,98
alovoa,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number,The method contains a magic number: 55,98
alovoa,com.nonononoki.alovoa,ToolsTest,testLargeNumberToString,Magic Number,The method contains a magic number: 1230000000,124
alovoa,com.nonononoki.alovoa,ToolsTest,testLargeNumberToString,Magic Number,The method contains a magic number: 12340000,124
alovoa,com.nonononoki.alovoa,ToolsTest,testLargeNumberToString,Magic Number,The method contains a magic number: 1000,124
alovoa,com.nonononoki.alovoa,ToolsTest,testLargeNumberToString,Magic Number,The method contains a magic number: 123,124
alovoa,com.nonononoki.alovoa,AuthParams,AuthParams,Long Parameter List,The method has 6 parameters. ,14
alovoa,com.nonononoki.alovoa,AuthParams,AuthParams,Long Parameter List,The method has 5 parameters. ,23
alovoa,com.nonononoki.alovoa,Tools,getDistanceToUser,Long Statement,The length of the statement "return DistanceUtils.calcDistanceKm(user.getLocationLatitude()`user.getLocationLongitude()`currUser.getLocationLatitude()`currUser.getLocationLongitude());" is 155.,166
alovoa,com.nonononoki.alovoa,Tools,getBase64Size,Magic Number,The method contains a magic number: 2,175
alovoa,com.nonononoki.alovoa,Tools,getBase64Size,Magic Number,The method contains a magic number: 4,175
alovoa,com.nonononoki.alovoa,Tools,getBase64Size,Magic Number,The method contains a magic number: 3,175
alovoa,com.nonononoki.alovoa,Tools,usersCompatible,Complex Conditional,The conditional expression user2.getPreferedGenders() == null || user1.getPreferedGenders() == null || user1.getDates() == null || user2.getDates() == null is complex.,206
alovoa,com.nonononoki.alovoa,Tools,usersCompatible,Long Statement,The length of the statement "if (user2.getPreferedGenders() == null || user1.getPreferedGenders() == null || user1.getDates() == null || user2.getDates() == null) {" is 135.,206
alovoa,com.nonononoki.alovoa,Tools,usersCompatible,Long Statement,The length of the statement "return user2Age < AGE_LEGAL == user1Age < AGE_LEGAL && user2.getPreferedGenders().contains(user1.getGender()) && user1.getPreferedGenders().contains(user2.getGender()) && user1.getPreferedMaxAge() >= user2Age && user1.getPreferedMinAge() <= user2Age && user2.getPreferedMaxAge() >= user1Age && user2.getPreferedMinAge() <= user1Age && user2.getIntention().getText().equals(user1.getIntention().getText());" is 405.,206
alovoa,com.nonononoki.alovoa,Tools,getCountryEmoji,Magic Number,The method contains a magic number: 0x41,256
alovoa,com.nonononoki.alovoa,Tools,getCountryEmoji,Magic Number,The method contains a magic number: 0x1F1E6,256
alovoa,com.nonononoki.alovoa,Tools,getCountryEmoji,Magic Number,The method contains a magic number: 0x41,256
alovoa,com.nonononoki.alovoa,Tools,getCountryEmoji,Magic Number,The method contains a magic number: 0x1F1E6,256
alovoa,com.nonononoki.alovoa,Tools,getAuthParams,Long Statement,The length of the statement "String cookieData=authParams.getSecurityConfig().getOAuthRememberMeServices().getRememberMeCookieData(authParams.getUsername()`authParams.getPassword());" is 153.,289
alovoa,com.nonononoki.alovoa,Tools,getAuthParams,Long Statement,The length of the statement "builder.append("?remember-me=").append(cookieData).append("&jsessionid=").append(authParams.getHttpSessionId()).append("&page=").append(authParams.getPage());" is 158.,289
alovoa,com.nonononoki.alovoa,Tools,getAuthParams,Long Parameter List,The method has 5 parameters. ,308
alovoa,com.nonononoki.alovoa,DistanceUtils,calcDistanceKm,Long Statement,The length of the statement "double a=Math.sin(latDistance / 2) * Math.sin(latDistance / 2) + Math.cos(Math.toRadians(userLat)) * Math.cos(Math.toRadians(venueLat)) * Math.sin(lngDistance / 2)* Math.sin(lngDistance / 2);" is 191.,10
alovoa,com.nonononoki.alovoa,DistanceUtils,calcDistanceKm,Magic Number,The method contains a magic number: 2,10
alovoa,com.nonononoki.alovoa,DistanceUtils,calcDistanceKm,Magic Number,The method contains a magic number: 2,10
alovoa,com.nonononoki.alovoa,DistanceUtils,calcDistanceKm,Magic Number,The method contains a magic number: 2,10
alovoa,com.nonononoki.alovoa,DistanceUtils,calcDistanceKm,Magic Number,The method contains a magic number: 2,10
alovoa,com.nonononoki.alovoa,DistanceUtils,calcDistanceKm,Magic Number,The method contains a magic number: 2,10
alovoa,com.nonononoki.alovoa.html,UserProfileResourceTest,before,Long Statement,The length of the statement "Mockito.when(mailService.sendMail(Mockito.any(String.class)`any(String.class)`any(String.class)`any(String.class))).thenReturn(true);" is 133.,77
alovoa,com.nonononoki.alovoa.html,MessageResourceTest,before,Long Statement,The length of the statement "Mockito.when(mailService.sendMail(Mockito.any(String.class)`any(String.class)`any(String.class)`any(String.class))).thenReturn(true);" is 133.,69
alovoa,com.nonononoki.alovoa.html,MessageResourceTest,test,Magic Number,The method contains a magic number: 2,82
alovoa,com.nonononoki.alovoa.html,PasswordResourceTest,before,Long Statement,The length of the statement "Mockito.when(mailService.sendMail(Mockito.any(String.class)`any(String.class)`any(String.class)`any(String.class))).thenReturn(true);" is 133.,65
alovoa,com.nonononoki.alovoa.html,BlockedUsersResourceTest,before,Long Statement,The length of the statement "Mockito.when(mailService.sendMail(Mockito.any(String.class)`any(String.class)`any(String.class)`any(String.class))).thenReturn(true);" is 133.,67
alovoa,com.nonononoki.alovoa.html,DonateResourceTest,before,Long Statement,The length of the statement "Mockito.when(mailService.sendMail(Mockito.any(String.class)`any(String.class)`any(String.class)`any(String.class))).thenReturn(true);" is 133.,65
alovoa,com.nonononoki.alovoa.html,SearchResourceTest,before,Long Statement,The length of the statement "Mockito.when(mailService.sendMail(Mockito.any(String.class)`any(String.class)`any(String.class)`any(String.class))).thenReturn(true);" is 133.,65
alovoa,com.nonononoki.alovoa.html,NotificationResourceTest,before,Long Statement,The length of the statement "Mockito.when(mailService.sendMail(Mockito.any(String.class)`any(String.class)`any(String.class)`any(String.class))).thenReturn(true);" is 133.,67
alovoa,com.nonononoki.alovoa.html,NotificationResourceTest,test,Magic Number,The method contains a magic number: 2,80
